Command: ./simv_simple_fsm -cm line+cond+fsm+branch+tgl -cm_name simv_simple_fsm -cm_dir ./simv_simple_fsm.vdb +vpdfile+simv_simple_fsm.vpd -l simv_simple_fsm.log
Chronologic VCS simulator copyright 1991-2016
Contains Synopsys proprietary information.
Compiler version L-2016.06_Full64; Runtime version L-2016.06_Full64;  Jun  6 20:34 2021
*Verdi3* Loading libsscore_vcs201606.so
*Verdi3* : FSDB_GATE is set.
*Verdi3* : FSDB_RTL is set.
*Verdi3* : Enable Parallel Dumping.
FSDB Dumper for VCS, Release Verdi3_L-2016.06-1, Linux x86_64/64bit, 07/10/2016
(C) 1996 - 2016 by Synopsys, Inc.
*Verdi3* : Create FSDB file 'simple_fsm.fsdb'
*Verdi3* : Begin traversing the scope (tb_simple_fsm), layer (0).
*Verdi3* : End of traversing.
@time 9200ns: pi_money=0 state=001 po_cola=0
@time 9220ns: pi_money=1 state=001 po_cola=0
@time 9240ns: pi_money=0 state=010 po_cola=0
@time 9280ns: pi_money=1 state=010 po_cola=0
@time 9300ns: pi_money=0 state=100 po_cola=0
@time 9340ns: pi_money=1 state=100 po_cola=0
@time 9360ns: pi_money=1 state=001 po_cola=1
@time 9380ns: pi_money=0 state=010 po_cola=0
@time 9400ns: pi_money=1 state=010 po_cola=0
@time 9420ns: pi_money=0 state=100 po_cola=0
@time 9440ns: pi_money=1 state=100 po_cola=0
@time 9460ns: pi_money=1 state=001 po_cola=1
@time 9480ns: pi_money=1 state=010 po_cola=0
@time 9500ns: pi_money=1 state=100 po_cola=0
@time 9520ns: pi_money=0 state=001 po_cola=1
@time 9540ns: pi_money=0 state=001 po_cola=0
@time 9560ns: pi_money=1 state=001 po_cola=0
@time 9580ns: pi_money=0 state=010 po_cola=0
@time 9600ns: pi_money=1 state=010 po_cola=0
@time 9620ns: pi_money=0 state=100 po_cola=0
@time 9640ns: pi_money=1 state=100 po_cola=0
@time 9660ns: pi_money=1 state=001 po_cola=1
@time 9680ns: pi_money=0 state=010 po_cola=0
@time 9720ns: pi_money=1 state=010 po_cola=0
@time 9740ns: pi_money=1 state=100 po_cola=0
@time 9760ns: pi_money=1 state=001 po_cola=1
@time 9780ns: pi_money=0 state=010 po_cola=0
@time 9820ns: pi_money=1 state=010 po_cola=0
@time 9840ns: pi_money=0 state=100 po_cola=0
@time 9880ns: pi_money=1 state=100 po_cola=0
@time 9900ns: pi_money=1 state=001 po_cola=1
@time 9920ns: pi_money=1 state=010 po_cola=0
@time 9940ns: pi_money=0 state=100 po_cola=0
@time 9960ns: pi_money=1 state=100 po_cola=0
@time 9980ns: pi_money=1 state=001 po_cola=1
@time 10000ns: pi_money=0 state=010 po_cola=0
@time 10060ns: pi_money=1 state=010 po_cola=0
@time 10080ns: pi_money=1 state=100 po_cola=0
@time 10100ns: pi_money=1 state=001 po_cola=1
@time 10120ns: pi_money=0 state=010 po_cola=0
@time 10180ns: pi_money=1 state=010 po_cola=0
@time 10200ns: pi_money=1 state=100 po_cola=0
@time 10220ns: pi_money=1 state=001 po_cola=1
@time 10240ns: pi_money=1 state=010 po_cola=0
